date,CVS,Price Chopper,SUNY Albany,Walgreens,Albany Armory,Hannaford,Times Union Center,Walmart,Queensbury Mall
2021-04-16 17:45:27,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) Rotterdam (134) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (53) Troy (76) Glenmont (75) Latham (74) Albany (75) Clifton Park (57) Schenectady (73) Glenville (72) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:40:28,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) Schenectady (132) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (53) Troy (76) Glenmont (75) Latham (74) Albany (75) Clifton Park (57) Schenectady (73) Glenville (72) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:35:34,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Unavailable,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (56) Troy (76) Glenmont (75) Latham (74) Albany (75) Clifton Park (57) Schenectady (73) Glenville (72) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:30:28,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(8) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Unavailable,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (56) Troy (76) Glenmont (75) Latham (73) Albany (75) Clifton Park (62) Schenectady (73) Glenville (74) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:25:22,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Unavailable,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (56) Troy (77) Glenmont (75) Latham (73) Albany (75) Clifton Park (62) Schenectady (73) Glenville (74) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:20:22,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Unavailable,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (56) Troy (77) Glenmont (75) Latham (73) Albany (75) Clifton Park (62) Schenectady (73) Glenville (74) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:15:26,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Unavailable,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (56) Troy (77) Glenmont (75) Latham (73) Albany (75) Schenectady (73) Glenville (75) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:10:36,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(3) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) Schenectady (132) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (56) Troy (77) Glenmont (75) Latham (73) Albany (75) Schenectady (73) Glenville (75) Amsterdam (94) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:05:24,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) Schenectady (132) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (77) Glenmont (75) Latham (73) Albany (75) Schenectady (73) Glenville (75) Amsterdam (93) ,Available Queensbury Aviation Mall - Sears 
2021-04-16 17:00:25,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) Schenectady (132) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (77) Glenmont (75) Latham (75) Albany (73) Schenectady (79) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:55:23,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (57) Troy (77) Glenmont (75) Latham (75) Albany (73) Schenectady (79) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:50:30,Available Albany Colonie Queensbury Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (77) Glenmont (75) Latham (75) Albany (74) Schenectady (79) Glenville (75) Amsterdam (93) ,Unavailable
2021-04-16 16:45:30,Available Albany Colonie Schenectady Troy Wynantskill ,Available Schenectady(9) Schenectady(8) Schenectady(9) Scotia(4) Malta(8) Saratoga(5),"Available Crossgates Mall, Former Lord & Taylor Lower Level ",Available Watervliet (71) Loudonville (65) ,"Available **Washington Avenue Armory - Albany, Schenectady, Troy  ",Available Albany Voorheesville Latham Troy Colonie,Unavailable,Available East Greenbush (58) Troy (77) Glenmont (75) Latham (75) Albany (74) Schenectady (76) Glenville (75) Amsterdam (93) ,Unavailable
